epoch,train_loss,valid_loss,accuracy,macro_f1,time
-1,,,,,2024-07-04 21:13:48.952450
0,0.6566650867462158,0.3318202793598175,0.678855299949646,0.40401026999930606,0:11
1,0.4868552088737488,0.18262124061584473,0.7448330521583557,0.4265777036788913,0:8
2,0.3196348547935486,0.07122272253036499,0.9213036298751831,0.4794760478776327,0:8
3,0.19926059246063232,0.02530554309487343,0.9888712167739868,0.5766820127849142,0:8
4,0.12089253216981888,0.005568475462496281,1.0,1.0,0:8
5,0.07185730338096619,0.0010526097612455487,1.0,1.0,0:8
6,0.04262986779212952,7.575293420813978e-05,1.0,1.0,0:8
7,0.02543322741985321,1.0955620382446796e-05,1.0,1.0,0:8
8,0.015242362394928932,4.0770914893073495e-06,1.0,1.0,0:8
9,0.009160580113530159,2.423173555143876e-06,1.0,1.0,0:8
10,0.005514884367585182,1.7588976106708287e-06,1.0,1.0,0:8
11,0.003323574783280492,1.3458563898893772e-06,1.0,1.0,0:8
12,0.0020042723044753075,9.491055266153126e-07,1.0,1.0,0:8
13,0.0012091650860384107,6.989599796725088e-07,1.0,1.0,0:8
14,0.0007296920521184802,5.196795882511651e-07,1.0,1.0,0:8
15,0.0004404500941745937,3.857010142382933e-07,1.0,1.0,0:8
16,0.00026590877678245306,3.020896883754176e-07,1.0,1.0,0:8
17,0.00016056884487625211,2.441563822230819e-07,1.0,1.0,0:8
18,9.698488429421559e-05,1.9647325188998366e-07,1.0,1.0,0:8
19,5.859736120328307e-05,1.529875532924052e-07,1.0,1.0,0:8
20,3.541887053870596e-05,1.2334243137956946e-07,1.0,1.0,0:8
21,2.142033372365404e-05,9.967926928311499e-08,1.0,1.0,0:8
22,1.296196842304198e-05,7.470449503443888e-08,1.0,1.0,0:8
23,7.848245331842918e-06,5.734655417199974e-08,1.0,1.0,0:8
24,4.753640496346634e-06,3.764839107134321e-08,1.0,1.0,0:8
25,2.8800270683859708e-06,2.3864735965162254e-08,1.0,1.0,0:9
26,1.7447249547331012e-06,1.3666528353439844e-08,1.0,1.0,0:9
27,1.0571677648840705e-06,9.511942344886393e-09,1.0,1.0,0:8
28,6.408777153410483e-07,6.669179875018472e-09,1.0,1.0,0:8
29,3.8880273223185213e-07,4.8666808361019775e-09,1.0,1.0,0:8
30,2.3618274269665562e-07,3.6571841111054937e-09,1.0,1.0,0:8
31,1.437195464859542e-07,2.857319492122201e-09,1.0,1.0,0:8
32,8.766750880795371e-08,2.2460200366225536e-09,1.0,1.0,0:8
33,5.36661808325789e-08,1.8526475908942075e-09,1.0,1.0,0:8
34,3.301379081221967e-08,1.4480674437322705e-09,1.0,1.0,0:8
35,2.0440687364953192e-08,1.2371839108737959e-09,1.0,1.0,0:9
36,1.2766688151089056e-08,1.0134019179375287e-09,1.0,1.0,0:8
37,8.073711477152301e-09,8.861668621129581e-10,1.0,1.0,0:8
38,5.184553231174505e-09,7.40748851146833e-10,1.0,1.0,0:8
39,3.397705450325361e-09,6.112144124159613e-10,1.0,1.0,0:8
40,2.2799178100996187e-09,5.403861247366137e-10,1.0,1.0,0:8
41,1.5723985447024802e-09,4.796011365826303e-10,1.0,1.0,0:8
42,1.1195568916377852e-09,4.10860789834544e-10,1.0,1.0,0:8
